               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062886,            0.029691,                   0,             0.50637,             0.46667,               0.535,             0.21966,            0.019271,           0.0099622,                   0,            0.070076,           0.0033249,           0.0033249
                   1,            0.040658,            0.022818,                   0,             0.53615,                 0.8,             0.66933,              0.4111,            0.019432,           0.0067551,                   0,            0.039945,           0.0065264,           0.0065264
                   2,            0.037593,             0.02067,                   0,             0.77861,             0.70462,              0.8565,             0.34803,             0.02054,           0.0053132,                   0,           0.0096807,           0.0095959,           0.0095959
                   3,            0.033456,            0.019746,                   0,             0.96564,                 0.8,             0.95365,             0.61488,            0.014719,           0.0056651,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.030056,            0.019766,                   0,             0.80629,             0.66667,             0.76971,              0.3269,            0.021461,           0.0059926,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.026662,            0.018891,                   0,             0.91037,             0.93333,             0.94583,             0.60959,            0.012616,           0.0057963,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.025211,            0.017897,                   0,                   1,              0.8531,             0.95352,             0.62213,            0.014575,           0.0053261,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.025604,            0.018381,                   0,             0.92953,                   1,             0.93688,             0.50328,            0.015321,           0.0047229,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.024705,            0.017317,                   0,             0.93139,                   1,             0.95375,             0.59868,             0.01175,            0.004577,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.023117,            0.017476,                   0,             0.92899,                   1,              0.9825,             0.65641,            0.010602,            0.005047,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.022857,            0.017201,                   0,             0.93212,                   1,             0.97437,             0.69572,            0.012081,           0.0045287,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.022026,            0.016223,                   0,              0.9268,                   1,             0.97875,              0.6575,            0.010846,           0.0045283,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.022568,             0.01671,                   0,             0.92921,                   1,             0.95375,             0.64714,            0.011534,           0.0045639,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.021394,            0.016028,                   0,             0.93057,                   1,             0.97875,             0.58387,            0.012933,            0.004306,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.021344,            0.016666,                   0,              0.9334,                   1,             0.94937,             0.59631,            0.011566,           0.0044756,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.021122,            0.016074,                   0,             0.93451,                   1,             0.96625,             0.68102,           0.0090965,           0.0045942,                   0,            0.007228,            0.007228,            0.007228
